height	height (double step)	z	time
-1000	-1000	0,0	0,0
-997,3618245087811	-994,7236490175621	5,27606496405259	1,0
-989,4484419820194	-978,8968839640389	10,55041420890824	2,0
-976,2615676807125	-952,523135361425	15,823048695680164	3,0
-957,8029157706651	-915,6058315413304	21,093969653577016	4,0
-934,0741990545835	-868,148398109167	26,363178579524966	5,0
-905,0771287045458	-810,1542574090917	31,63067723779042	6,0
-870,8134139948509	-741,6268279897018	36,89646765960346	7,0
-831,2847620352421	-662,5695240704845	42,16055214278217	8,0
-786,4928775045071	-572,9857550090145	47,42293325135784	9,0
-736,4394623844512	-472,8789247689028	52,683613815201205	10,0
-681,1262156942447	-362,25243138848987	57,94259692964983	11,0
-620,5548332251418	-241,10966645028395	63,19988595513667	12,0
-554,72700727557	-109,45401455114052	68,45548451681996	13,0
-483,6444263865901	32,71114722681935	73,70939650421447	14,0
-407,30877507772254	185,38244984455443	78,96162607082427	15,0
-325,7217335831417	348,5565328337161	84,21217763377709	16,0
-238,884977588234	522,2300448235316	89,46105587346031	17,0
-146,8001779665197	706,3996440669601	94,70826573315877	18,0
-49,46900051693579	901,0619989661279	99,95381241869434	19,0
53,10689429852181	1106,213788597043	105,19770139806758	20,0
